cleaned_tweet,sentiment
pala gue mau meledak ngurusin coretax doang bjngn,negative
untuk fp besaran tertentu dapat dibuat di laman coretax ya kak kendala seperti apa yang ditemui untuk fp tks akim,neutral
hallo min izin tnya terkait sertel op coretax kmrn op sudah permohonan sertel dan ada bpsnya tp kmrn kendala pas download msh an op lain tp per hari ini kok permohonannya gaada ya,negative
hai kak mohon maaf atas ketidaknyamanannya informasi saat ini menu impersonate masih dlm pengecekan secara menyeluruh silakan dicoba scr berkala pastikan pic atau pihak terkait benar terdaftar di akun coretax badan,neutral
min ini kenapa ga bisa masuk coretax sudah login pakai npwp dan pass akun djp munculnya akun belum terdaftar,neutral
perhitungan di atas tidak ada hubungannya dengan coretax karena sudah dari dulu dapat penghasilan yang lebih tinggi di tempat baru adalah rezeki anda tapi jangan lupa disiapkan anggaran untuk pajak penghasilannya supaya tidak kaget bulan maretnya have a nice day,positive
hai kak apakah kendala tersebut muncul ketika kakak membuat billing melalui e billing di djp online jika iya untuk saat ini pembuatan kode billing stp dibuat melalui menu pembayaran di coretax ya kak tks wani,neutral
ini knp konsultan gue ngajuin sertel op msh manual ke kpp oi knp bkn lwt coretax,neutral
namun untuk transaksi yang terjadi mulai januari silakan menggunakan coretax dan silakan diajukan melalui menu portal saya dan klik permohonan kode otorisasi sertifikat elektronik npwp wp op tks tari,neutral
hai kak jika sudah punya akun djp online maka ketika akses coretax silakan klik tombol lupa kata sandi terlebih dahulu ya kak jika telah berhasil reset kata sandi silakan login kembali menggunakan nik dari pic terkait tks illa,neutral
min mau tanya daftar orng pribadi coretax gimana yh saya belum mempunyai akun djp,neutral
hai kak mohon maaf atas ketidaknyamanan yang dialami beberapa fitur coretax saat ini sedang dalam proses penyempurnaan dan peningkatan kualitas layanan terkait dengan kendala yang kakak alami mohon berkenan menunggu dan lakukan pengecekan secara berkala tks dhan,neutral
halo admin saya sudah mengganti pic beberapa kali di coretax tapi tidak berhasil,neutral
coretax lu udah bisa,positive
hai kak apabila ingin login ke laman coretax djp tidak menggunakan passphrase ya kak namun menggunakan kata sandi yang sudah dibuat apabila ingin merupakan kata sandi silakan klik lupa kata sandi pada laman login coretax djp,neutral
hai kak untuk saat ini permintaan nsfp tahun sudah tidak bisa dilakukan krn saat ini sudah tahun nsfp bisa digunakan sejak tanggal permintaan shg utk tahun tidak perlu melakukan permintaan nsfp silakan terbitkan fp melalui coretax djp mulai jan tks elti,neutral
iya betul min ini coretax terus ini ada masalah baru lagi karna ketika login gagal terus padahal id sama kata sandi udah bener,negative
untuk menu pengajuan sktd di coretax di mana ya min,neutral
hai kak untuk buat kode otorisasi saat ini sudah muncul ya kak di laman coretax menu portal saya permohonan kode otorisasi sertifikat digital tks scly,neutral
karyawan bagian pajak pusing semua sama coretax aku malah belum bisa login,negative
kakk aku aja masuk coretax masih kembang kempis blm berhasil buat faktur keluaran sampe sekarang,negative
min pass login awal coretax kita kan disuruh isi lupa password sudah dibuat ulang password akan tetapi kita lupa gak masuki passphrase nya ini dah terlanjur masuk di coretaxnya menu buat passphrase nya dimana ya,neutral
hai kak mohon dipastikan kk sudah sesuai dengan yg terdaftar pada kepala ftu mohon maaf atas ketidaknyamanan yg dialami saat ini beberapa menu dalam coretax dalam proses penyempurnaan peningkatan kualitas oleh tim terkait mohon berkenan mencoba secara berkala tks anto,neutral
semoga kesabaran gw sama temen gw menghadai coretax balesannya masuk surga ya kesel dikit tapi plislahh ini kesabaran diuji mentok wkwk,positive
hai kak mau tanya untuk pelaporan spt tahunan op dan badan apakah masih bisa lapor dari djp online atau sudah harus menggunakan coretax,neutral
hai kak apakah kendala tsb muncul ketika input alamat untuk registrasi npwp di coretax jika iya silakan pastikan detail alamat sudah diisi benar dan pastikan bagian yang bertanda bintang sudah diisi,neutral
min mau tanya untuk pembuatan kode billing masa pajak pake djponline atau coretax ya,neutral
halo kak ini kenapa ya saya buka sistem coretax dari tadi begini teruss sudah saya coba berulang masih sama gini teruss,neutral
menyala kpp karna coretax hahaha,negative
hai kak silakan dicoba secara berkala dan sebelumnya silakan dicoba beberapa hal berikut pastikan perangkat yang digunakan sudah terhubung dengan jaringan internet lakukan clear cache cookies pada browser sebelum akses laman coretax,neutral
duh ini coretax kapan bisa impersonate ke wp badan,negative
hai kak jika terlewat tidak membuat passphrase saat pertama kali login ke akun coretax kakak dapat melakukan permintaan kode otorisasi sertel dapa menu portal saya setelah masuk ke akun coretax ya tks nyah,neutral
iya harus bikin lewat bupot habis itu lewat spt masanya lewat coretax semua,neutral
lagi pening sama coretax jeda sejenak postingan pertama yang muncul di beranda spot ngetehnya mas dino langsung berasa nyium aroma wangi tehnya dan jadi agak rilex cakep banget rak dan meja kursinya,positive
setelah itu untuk mendapatkan kartu elektroniknya kakak dapat mencoba untuk login ke jika sebelumnya kakak memiliki akun djp online kakak hanya perlu reset password akun coretax saja,neutral
hai kak mohon maaf atas ketidaknyamanan yg dialami menu efaktur yang dimaksud apakah di coretax saat ini coretax dalam proses penyempurnaan dan peningkatan kualitas oleh tim terkait berkenan mencoba kembali tks fira,neutral
halo kak mau tanya untuk membuat ebupot pph tahun tetep menggunakan website djp atau udah dialihkan ke coretax ya,neutral
hai kak untuk kode as digunakan untuk akun coretax yg sedang login apabila untuk wp lain seperti e phtb notaris maka silakan pilih sub layanan as a tks ihan,neutral
kalo dari bkad sini perintahnya pake coretax gimana ya syam caranya,neutral
hai kak mohon maaf atas ketidaknyamanan yg dialami silakan mencoba refresh lamannya terlebih dahulu atau lakukan clear cookies cache pada browser atau akses laman coretax menggunakan private incognito window atas kendala tsb saat ini dalam penanganan tim terkait tks olon,neutral
hai kak untuk melakukan perubahan pic silakan login menggunakan pic lama lalu memilih impersonate wp badan atau menggunakan akun wp badan tsb untuk melakukan penggantian pic pada laman coretax langkahnya adalah masuk ke menu profil pilih submenu informasi umum,neutral
kak aku mau nanya apa kakak sudah bisa pake coretax aku juga pake npwp cabang cuma potong pph jasa dan pph ayat aja kakak akhirnya loginnya gimanaa,neutral
haloo ini coretax kenapa gabisa ambil data dari dg ahu mau update pihak terkait tp gabisa di save karena data di informasi umum harus di isi sedangkan tdk bisa isi manual harus sync dengan dg ahu,neutral
welcome disambut dengan adaptasi coretax ditambah menyelesaikan sp dk tahun udah gitu badan lemes pula,negative
isi spt pake coretax atau djp,neutral
hai kak pendaftaran npwp dilakukan melalui coretax kakak dapat melakukan pendaftaran melalui tautan berikut tutorial cara daftar wajib pajak orang pribadi non karyawan dapat dilihat pada tautan berikut tks fira,neutral
hai kak saat ini belum ada pemberitahuan resmi terkait error laman coretax silakan kakak dapat mencoba langkah langkah berikut pastikan koneksi internet stabil clear cache cookies pada browser yang digunakan,neutral
itu login pake akun coretax pic,neutral
untuk panduan penggunaan menu layanan pada coretax dapat dilihat di tks onie,neutral
hai kak untuk pembuatan skd spdn di coretax silakan masuk ke menu layanan wajib pajak layanan administrasi buat permohonan layanan administrasi,neutral
min saya mau ubah password coretax via nomor hp tp link yang dikirim ngga bisa di buka,neutral
mendadak migrain karena coretax ada aja yang nggak sinkron nggak muncul nomor pkp lah di fp nggak bisa nambah user lah dan nggak bisa nggak bisa yang lain mana kalau nggak ada fp tagihan nggak bisa dikirim ke customer otomatis nggak ada piutang yang bisa ditagih,negative
min mau tanya kenapa masa pajak desember tidak ada dalam pilihan untuk pelaporan spt masa coretax,neutral
hai kak silakan kakak pilih aktivasi akun wajib pajak pada coretax selanjutnya silakan isi dan verifikasi alamat email dan nomor telepon baru kakak juga bisa mengajukan permohonan perubahan data email dan telepon melalui kring pajak atau melalui kpp terdekat tks sali,neutral
hai kak baik kakak apabila ada kendala saat ini beberapa fitur coretax sedang dalam peningkatan kualitas layanan mohon berkenan menunggu dan cek secara berkala mohon maaf atas ketidaknyamanannya tks etyo,neutral
hai kak bisa diinformasikan untuk kendalanya pada saat mengakses menu yang mana secara umum terkait coretax dapat dilihat dalam kanal youtube berikut tks rati,neutral
siang kak izin bertanya saya mau pelaporan spt pph masa desember itu ada pajak pesangon kak nah saya mau tanya untuk pembayaran pajak pesangon ini menggunakan ebilling dibuatnya masih bisa di djponline atau sudah di coretax ya kak makasih,neutral
min ini solusinya gimana ya dari coretax ke menu portal saya permintaan kode otorisasi sertifikat elektronik ini passphrase sudah benar dan sama tapi selalu tampil notif format pola tidak valid mohon solusi thanks,neutral
hai kak untuk pembuatan e skd saat ini dilakukan melalui coretax djp di laman setelah berhasil login ke coretax djp silakan ke menu layanan wp layanan administrasi buat permohonan lay administrasi pilih surat ket domisili tks elti,neutral
hai kak mohon maaf atas ketidaknyamanannya saat ini beberapa fitur coretax sedang dalam peningkatan kualitas layanan terkait kendala yang kakak alami mohon berkenan menunggu dan cek secara berkala tks etyo,neutral
hai kak apakah yang dimaksud adalah penginputan nomor kk kartu keluarga pada saat pendaftaran npwp pada laman coretax jika iya silakan konfirmasi ke dinas dukcapil ya kak untuk dilakukan sinkronisasi data tks itri,neutral
min kalo saya sudah kawin mau daftar coretax pakai nik nah saya masukin kawin tapi kk jadi tidak valid kalo saya masukin tidak kawin status saya yg istri salah jadi baiknya isinya seperti apa ya isi anak,negative
mendapatkan peran dari pic melalui menu my representative atau wakil kuasa saya melakukan persetujuan penunjukannya di menu pending request atau permohonan tertunda di coretax masing masing tks rati,neutral
hai kak apabila yang dimaksud adalah konsultan pajak pastikan yang bersangkutan memiliki npwp lisensi resmi dan sertifikasi konsultan pajak yang aktif terdaftar sebagai aktif di database coretax sebelum diberikan peran,neutral
sumpah kenapa kalau ada perubahan sistem selalu ruwet awal tahun diberlakukan sistem inti administrasi perpajakan alias coretax bukannya lancar malah banyak sekali yang kesulitan untuk akses disisi lain keterlambatan pembuatan faktur pajak entar didenda,negative
hai kak betul ya kak pemenuhan hak dan kewajiban perpajakan wp badan pada coretax dilakukan secara impersonate oleh pic nya termasuk pembuatan faktur pajak yang diterbitkan oleh pkp badan silakan login ke akun coretax pic nya dan pastikan memilih role,neutral
min untuk pelaporan pph unfikasi desember masih pakai djp atau udah pakai coretax,neutral
pengajuan sktd di coretax menunya belum disediakan,neutral
hai kak pic di coretax hanya satu orang pribadi saja ya kak namun pic dimaksud bisa dilakukan penggantian pic apabila sudah diganti maka pic tetap satu ke orang pribadi yg baru sebagai pengganti saja ya kak tks ihan,neutral
hai kak untuk pembuatan kode billing masa pajak januari dilakukan melalui coretax ya kak silakan pilih menu pembayaran dalam akun coretax yang digunakan tks onie,neutral
hai kak kode otp terkirim ke nomor telepon dan alamat email yang dimasukkan masukkan kode otp kemudian klik verify verifikasi pastikan pengisian format email nomor telepon sesuai dengan petunjuk di coretax,neutral
hai kak terkait coretax apabila kakak telah memiliki npwp dan akun djp online untuk mengakses pertama kali silakan kakak melakukan reset password silakan kakak klik lupa kata sandi kemudian inputkan npwp digit email nomor hp captcha dan pernyataan,neutral
hai kak mohon maaf atas ketidaknyamanan yang dialami saat ini fitur coretax dalam proses peningkatan kualitas layanan berkenan mencoba kembali secara berkala tks vira,neutral
hai kak jika sebelumnya belum pernah memiliki akun djp online dan sudah berhasil aktivasi akun coretax silakan kakak dapat langsung login dg nik dan kata sandi yg dikirimkan ke email kakak tks izki,neutral
baru masuk kantor tiba pajak an pake coretax buset dah ga bisa bikin faktur pajak ini berlaku januari bgt,negative
mau rubah pic bisa langsung di coretax badan atau ke kpp,neutral
hai kak mohon maaf atas ketidaknyamanan yg dialami boleh dijelaskan lebih lanjut kendalanya seperti apa apakah terdapat notifikasi yang muncul saat ini coretax dalam proses penyempurnaan dan peningkatan kualitas oleh tim terkait berkenan mencoba kembali tks fira,neutral
hai kak mohon maaf atas ketidaknyamanan yang dialami saat ini fitur coretax dalam proses peningkatan kualitas layanan berkenan mencoba kembali secara berkala tks vira,neutral
hai kak jika sudah memiliki akun djp online untuk login pertama kali ke sistem coretax lakukan prosedur reset password terlebih dahulu dengan menekan tombol lupa kata sandi setelah melakukan prosedur reset password login menggunakan nik npwp dan password tks dana,neutral
dicoba berkala aja kak emang coretax masih blm stabil,negative
hai kak mohon maaf atas ketidaknyamanan yang dialami beberapa fitur coretax saat ini sedang dalam proses penyempurnaan dan peningkatan kualitas layanan terkait dengan kendala yang kakak alami mohon berkenan menunggu dan lakukan pengecekan secara berkala tks dhan,neutral
hai kak mohon maaf atas ketidaknyamanannya sebagai informasi pendaftaran npwp secara online per januari melalui panduan terkait pendaftaran npwp dapat kakak akses melalui tautan berikut tks ynti,neutral
tahun udh pakai coretax kak,neutral
kakak pas buka coretax wp trs pilih pihak terkait ada tertera siapa aja pihak terkaitnya nah itu pic segala akses utama coretax dipegang pic pic nanti bisa kasih akses buat staff konsultan buat impersonate wp,neutral
o begitu buat sertel dari akun op apakah harus via coretax juga,neutral
eskd input dimana ya bisanya di coretax badan atau pic,neutral
hai kak mohon maaf atas ketidaknyamanan yang dialami beberapa fitur coretax saat ini sedang dalam proses penyempurnaan dan peningkatan kualitas layanan terkait dengan kendala yang kakak alami mohon berkenan menunggu dan lakukan pengecekan secara berkala tks dhan,neutral
kentut lah coretax ini bikin kerjaan gua jadi numpuk aja sampai sekarang masih belum bisa mnyt,negative
hai kak sebagai tambahan informasi permohonan kode otorisasi dapat diakses pada menu portal saya permohonan kode otorisasi sertifikat digital panduan terkait coretax dapat diakses pada tks ynti,neutral
hai kak mohon maaf atas ketidaknyamanan yang dialami beberapa fitur coretax saat ini sedang dalam proses penyempurnaan dan peningkatan kualitas layanan terkait dengan kendala yang kakak alami mohon berkenan menunggu dan lakukan pengecekan secara berkala tks dhan,neutral
tolong dong ini coretax gimana sihhhhh harus tanya ke siapa kalau error kring pajak ga bisa wa helpdesk ga direspon ar ga tau permasalahan kalau memang belum siap better pakai e faktur dulu kami juga harus menerbitkan faktur pajak,negative
jika fp belum dibuat dan membuat faktur pajak di maka tidak dapat membuat fp tanggal sebelum termasuk untuk masa desember silakan membuat fp di laman web coretax dan tidak perlu meminta nsfp tks afis,neutral
hai kak apakah yang kakak maksud adalah role untuk hak akses pegawai pada coretax jika iya maka kakak dapat menambahkan lebih dari drafter dan atau signer ya tks dhan,neutral
hai kak jika muncul keterangan nomor identitas nasional diduplikasi saat melakukan pendaftaran akun coretax menunjukan nik sudah terdaftar sbg wajib pajak kakak dapat login menggunakan akun djp online atau melakukan aktivasi akun belum memiliki akun djp online tks duan,neutral
mjb kak sori jadi emg blm bisa nambahin kuasa lain staff perusahaan untuk bikin faktur ya saya bingung otak atik coretax dri td pilih penunjukan kuasa masukin npwp tp ada notif kuasa yg di tunjuk hrs terdftr etc gtu,negative
hai kak jika fp belum dibuat dan membuat faktur pajak di maka tidak dapat membuat fp sebelum termasuk untuk masa desember silakan membuat fp di laman web coretax dan tidak perlu meminta nsfp tks wnti,neutral
hai kak setelah masuk ke akun coretax kakak silakan kakak pilih menu portal saya dokumen saya hasilkan dokumen kartu npwp elektronik akan muncul pada tabel tersebut tks fina,neutral
sedangkan pilihan hanya registrasi yakni sekedar membuat akun coretax tanpa menjadikan nik sebagai npwp contohnya untuk wanita kawin yang kewajiban perpajakannya gabungan dengan suami maka istri dapat mendaftar akun coretax dengan memilih hanya registrasi tks vira,neutral
min ini yang pph pakek coretax atau djp nih login coretax error terus,negative
kalau mau pemindahbukuan dari jenis pajak ke apakah masih bisa kak di coretax ini atau harus pengembalian pajak yang seharusnya tidak terutang,neutral
hai kak apakah yang dimaksud akun coretax apakah akun utama yang dimaksud akun wajib pajak badan dan akun wajib pajak yang dimaksud akun pic atau pihak terkait terkait impersonate,neutral
hai kak hai kak mohon maaf atas ketidaknyamanannya ya untuk data wajib pajak penanggung jawab pic yang terhubung dengan coretax badan silakan dipastikan kembali pada akun coretax badan pada menu portal saya profil saya wakil kuasa saya kak,neutral
cara menambahkan pegawai admin pajak untuk membuat faktur pajak di coretax gimana min caranya thanks,neutral
apakah kakak membutuhkan kartu npwp elektronik dan yang kakak maksud web yang tidak dapat diakses adalah ereg jika iya saat ini situs ereg sudah tidak digunakan kartu npwp elektronik dapat kakak unduh melalui djp online atau coretax masing masing wajib pajak tks fina,neutral
hai kak mohon maaf atas ketidaknyamanannya sebagai informasi pendaftaran npwp secara online saat ini melalui panduan terkait pendaftaran npwp dapat kakak akses melalui tautan berikut tks ynti,neutral
hai kak tutorial pembuatan fp keluaran melalui coretax dapat dilihat pada link berikut ya kak tks rsan,neutral
kayaknya dri kepala dicoretaxnya pt yg mau dilogin djp blm ditambahin kak di akun coretax nya,negative
hai kak mohon maaf atas ketidaknyamanannya sebagai informasi pendaftaran npwp secara online saat ini melalui panduan terkait pendaftaran npwp dapat kakak akses melalui tautan berikut tks ynti,neutral
hai kak saat ini kakak dapat mengajukan pbk melalui coretax pada menu pembayaran permohonan pemindahbukuan buat permohonan pemindahbukuan baru isi data yang diminta panduan terkait permohonan pemindahbukuan dapat kakak lihat pada tks fina,neutral
baik perubahan data ataupun pemindahan wajib pajak bisa dilakukan scr mandiri melalui coretax atau ke kpp terdaftar perubahan data secara tertulis dapat kakak cek pada pasal per pj informasi kontak resmi kpp dpt dilihat pada laman,neutral
lewat coretax skrg udah gabisa lewat ereg lagi per info kring pajak,negative
hai kak mohon maaf atas ketidaknyamanannya dapat diinformasikan kendalanya seperti apa mohon sampaikan kronologi dan tangkapan layar saat mengalami kendala handbook tutorial coretax dapat kakak akses melalui tautan berikut tks ynti,neutral
plislah coretax ini menyusahkan login aja ngga bisa web nya error terus gimana mau ngerjain balik e faktur aja dah lu kalo masih ngga mampu,negative
lalu berarti supaya penandatangan faktur pajaknya oleh direktur badan berarti upload faktur pajak harus melalui akun coretax npwp si direktur sendiri,neutral
udah coretax pusing ditambah lg dengan punya bos yang rese nya yatuhan tiap x mau ngmg soal coretax dibilang nanti nanti tiba ditanya gw jawab beliau ga percaya kocakkkkk anjgggg udah ah malas gw resign beneren taun ini anjing makan hati krja ky gini,negative
jika kakak adalah wanita kawin yg ingin menjalankan kewajiban perpajakan terpisah pastikan nik tidak tercantum dalam data unit keluarga coretax suami tks izki,neutral
hai kak mohon maaf atas ketidaknyamanannya beberapa fitur coretax saat ini sedang dalam proses peningkatan kualitas layanan terkait dengan kendala yang kakak alami mohon berkenan menunggu dan cek secara berkala tks dati,neutral
hai kak apakah terkait pelaporan spt tahunan tahun pajak dan sebelumnya jika iya pelaporan spt tahunan pph tahun pajak dan sebelumnya saat ini masih menggunakan efiling atau e form ya kak belum menggunakan coretax tks iano,neutral
mau edit no handphone tapi gk bisa verifikasi di coretax nya,neutral
sudah punya akun djp online badan tapi gak bisa login coretax dibilang nama pengguna tidak ditemukan ini bikin faktur pajak kalau gak sesuai tanggal jadi masalah baru,negative
hai kak untuk email saat aktivasi akun coretax disesuaikan dengan email terdaftarnya ya kak jika tidak sesuai silakan lakukan permohonan perubahan data selanjutnya terkait email ini tidak berpengaruh pada impersonating wp badan tks itri,neutral
hai kak dapat diinformasikan kendalanya seperti apa sebagai informasi pendaftaran npwp secara online saat ini melalui panduan terkait pendaftaran npwp dapat kakak akses melalui tautan berikut tks ynti,neutral
dipaksakan utk coretax tapi jaringan eror tlg jarigannya pak bu,negative
halo kak sorry tpi aku juga di bantu sama konsultan pajak jdi skrg cuma cari seminar tentang coretax ini di yt,neutral
hai kak sesuai pasal uu ppn stdtd uu no tahun fp dibuat salah satunya pada saat penyerahan bkp jkp tanggal yang tercantum dalam faktur pajak adalah tanggal yang dipilih pada saat pembuatan faktur pajak di aplikasi coretax,neutral
hai kak pendaftaran coretax yang dimaksud apakah pada menu aktivasi akun wajib pajak jika iya silakan menginputkan ulang alamat email yang sesuai ya kak tks jani,neutral
silakan kakak kembali ke laman beranda coretax kemudian klik aktivasi akun wajib pajak dalam hal kakak sebelumnya belum memiliki akses djp online namun dalam hal kakak sebelumnya telah dapat mengakses djp online silakan klik lupa kata sandi,neutral
halo min ini saya mau upload faktur gabisa bisa di coretax katanya harus isi nomor faktur gimana ya min,neutral
hai kak apakah pengisian nik tersebut terkait registrasi pendaftaran wajib pajak melalui coretax jika iya hal tersebut dapat disebabkan karena kakak telah terdaftar sebagai wajib pajak,neutral
min kalo di akun coretax pic tidak ada akun badannya kenapa ya padahal di akun badan pihat terkait picnya sdh sesuai yg bertanggung jawab,negative
hai kak untuk panduan penggunaan coretax termasuk pembuatan faktur pajak dapat dilihat di kanal youtube ditjen pajak ri melalui laman berikut,neutral
ngasih buku petunjuk juga ngga jelas si coretax anjing,negative
silakan mengikuti langkah berikut sebelum mengakses laman coretax clear cache cookies pd browser menggunakan private window mozilla incognito chrome pastikan koneksi internet lancar stabil menggunakan jaringan internet perangkat yng berbeda tks jani,neutral
hai kak bisa diinformasikan validasi foto tersebut pada langkah atau permohonan apa pada dasarnya untuk foto tsb pada aplikasi coretax akan disesuaikan divalidasi berdasarkan data kependudukan dukcapil,neutral
ini tuh berarti sekarang upload faktur pajak bisanya dari log in coretax menggunakan npwp orang pribadi yang ditunjuk jadi pengurus npwp badan bukan dari log in coretax menggunakan npwp badan nya sendiri tolong dijelaskan,neutral
apabila masih terkendala silakan kakak coba hal berikut sebelum akses situs coretax clear cookies cache pada browser gunakan mode incognito private window gunakan browser perangkat koneksi internet lain coba berkala tks ayas,neutral
apa aku buka jasa freelance ngurusin coretax,neutral
hai kak pic pada coretax tidak diatur khusus disesuaikan dengan kebijakan perusahaan namun perlu diperhatikan bahwa pic memiliki hak akses penuh atas akun badan terkait pastikan kembali op yg ditunjuk sebagai pic adalah op yg tepat,neutral
hai kak dapat dibantu dijelaskan untuk layanan yang ingin diakses apa apakah untuk djp online atau coretax untuk djp online apakah bisa masuk ke akunnya atau tidak apabila bapak tidak bisa masuk ke akun djp online lalu email lupa silakan melakukan perubahan data,neutral
hai kak per januari seluruh aplikasi djp terintegrasi di coretax yg diakses melalui laman untuk mengakses layanan kswp silakan mengikuti panduan video berikut ya kak tks ynti,neutral
hai kak mohon maaf atas ketidaknyamanannya saat ini beberapa fitur coretax sedang dalam peningkatan kualitas layanan terkait kendala yang kakak alami mohon berkenan mencoba secara berkala ya tks auzi,neutral
hai kak jika kakak ingin mengajukan pengaktifan wp ne silakan ajukan scr mandiri pd coretax di menu portal saya perubahan status pengaktifan kembali kakak jg dpt menyampaikan permohonan pengaktifan kembali wp ne scr tertulis dan disampaikan secara langsung ke kpp,neutral
coba aja presiden kita pak anies mungkin gak bakal ada coretax di dunia ini,negative
hai kak mohon maaf atas ketidaknyamanannya saat ini web ereg sudah tidak digunakan lagi registrasi npwp dilakukan melalui coretax pada laman ya tks fina,neutral
cara buat e faktur di coretax gimana ya min lalu untuk pelaporan masa desember dan tahunan bagaimana,neutral
hari kita berpusing dengan coretax,neutral
hai kak mohon maaf atas ketidaknyamanannya ya silakan pastikan untuk data wajib pajak penanggung jawab pic yang terhubung dengan coretax badan silakan dipastikan kembali pada akun coretax badan pada menu portal saya profil saya wakil kuasa saya,neutral
hai kak mohon maaf atas ketidaknyamanannya informasi saat ini menu impersonate masih dlm pengecekan secara menyeluruh silakan dicoba scr berkala pastikan laman coretax djp pernah diakses menggunakan akun wajib pajak badan bersangkutan tks ynti,neutral
ada kak sama aja sbnrnya kek yg di coretax pekerjaan ama range gajinya,neutral
hai kak jika kakak sudah menambahkan transaksi pada fp maka nanti di kolom ppn nya akan dibulatkan ke bawah ya kak hal tersebut sudah disimulasikan di e faktur coretax silakan dipastikan kembali di akun coretax kakak ya tks ihan,neutral
gua nyerah bgt sama coretax,negative
serius ini coretax input data pakai excel terus ubah ke xml jir balik ke jaman batu kah udah enak pakai accurate astagaaaaa faktur bukan cuma transaksi woi ya kali ribuan faktur mesti ketik di excel,positive
hai kak mohon maaf atas ketidaknyamanannya untuk kendala yang dialami seperti apa kak untuk buku manual pendaftaran npwp bagi wajib pajak orang pribadi dapat dilihat di tks aleh,neutral
hai kak mohon maaf atas ketidaknyamanannya ya untuk data wajib pajak penanggung jawab pic yang terhubung dengan coretax badan silakan dipastikan kembali pada akun coretax badan pada menu portal saya profil saya wakil kuasa saya kak,neutral
hai kak sesuai pasal uu ppn faktur pajak dibuat salah satunya pada saat penyerahan bkp jkp tanggal yang tercantum dalam faktur pajak adalah tanggal yang dipilih pada saat pembuatan faktur pajak di aplikasi efaktur coretax tks amri,neutral
hai kak mohon maaf saat ini menu pendaftaran npwp melalui coretax dalam proses penyempurnaan dan peningkatan kualitas oleh tim terkait berkenan mencoba kembali secara berkala ya kak tks hadi,neutral
coretax kpn bisanya ini jirr gatau apa sehari brp transaksi bikin misuh awal tahun aja heran,negative
hai kak mohon maaf atas ketidaknyamanannya informasi saat ini menu impersonate masih dlm pengecekan secara menyeluruh silakan dicoba scr berkala pastikan laman coretax djp pernah diakses menggunakan akun wajib pajak badan bersangkutan tks iana,neutral
hari hari nyari info coretax di twt masalahnya ya buka djp aja kagak bisa bisa ini gimana mau bikin ebilling buat masa desember weii,neutral
apakah karyawan yg bukan pengurus suatu wp badan bisa dijadikan pic di dalam coretax,neutral
hai kak akan mengajukan layanan administrasi apa untuk saat ini pengajuan layanan administrasi melalui coretax ya kak sudah tidak dilakukan melalui djp online tks dati,neutral
hai kak apakah yang dimaksud adalah pendaftaran npwp apabila iya silakan masuk menu coretax pada kemudian pilih pengguna baru daftar disini apabila kesulitan kakak dapat meminta bantuan kpp atau telepon kring pajak tks utra,neutral
ngga akan berhenti marah soal coretax,positive
halo saya mau melakukan perubahan data untuk direktur utama dan susunan pemegang saham melalui laman coretax tapi kenapa munculnya begini ya apakah untuk melakukan perubahan data harus impersonating dari akun coretax direktur utama,neutral
tanggal yang tercantum dlm faktur pajak adalah tanggal yang dipilih pada saat pembuatan faktur pajak di aplikasi efaktur coretax dan sesuai pasal per jo per untuk fp di masa januari dapat diupload paling lambat tanggal bulan berikutnya tks rati,neutral
hai kak atas restitusi ppnbm tersebut apakah terkait dgn surat ketetapan pajak atau dokumen lainnya dapat diinformasikan juga apakah permohonan restitusi tersebut diajukan sebelum atau saat coretax diberlakukan tahun tks ktra,neutral
beneran yang bikin coretax kucekek kau ya,negative
hai kak mohon dipastikan kk sudah sesuai dengan yg terdaftar pada kepala ftu mohon maaf atas ketidaknyamanan yg dialami saat ini beberapa menu dalam coretax dalam proses penyempurnaan dan peningkatan kualitas oleh tim terkait mohon berkenan mencoba secara berkala tks izal,neutral
untuk permintaan sertifikat digital melalui coretax silakan memilih jenis sertifikat elektronik yang akan digunakan kemudian menginputkan id penandatangan,neutral
kak aku mau tanya soal coretax bisa,neutral
masa umkm ancur gegara keputusan tolol pajak ppn sama coretax si allahuakbar ini kami mau patuh loh mau bikin faktur,negative
hai kak apakah kakak terkendala saat pembuatan fp di menu e faktur coretax bisa diinformasikan terkendalanya saat proses apa dan boleh disampaikan tangkapan layarnya kak tks into,neutral
ituuuu bikin kesel okelah coretax simulasi oke buat pengenalan tapi jangan langsung diimplementasi gitu biar djp aja tetep pakenya kalo emg masih gak integrasi ayok kak nangis bareng,negative
gais yg ngerti pajak atau orang pajak mau tanya saat saya mau daftarkan hak kuasa untuk pegawa saat di save knapa seperti ini ya terimakasih pajak coretax,negative
hai kak berikut panduan pembuatan faktur pajak keluaran melalui coretax saat ini buku manual coretax yang tersedia dapat kakak akses di tks illa,neutral
hingga hari ke sistem coretax diberlakukan wajib pajak ramai mengeluhkan seperti dilansir di tempo semoga dapat menyelesaikan dengan secepatnya mengingat pentingnya aplikasi coretax untuk pelaporan wajib pajak,neutral
fitur coretax aplikasi coretax atau core tax administration system ctas yang dikembangkan oleh direktorat jenderal pajak djp republik indonesia memiliki berbagai fitur yang dirancang untuk meningkatkan efisiensi dan transparansi administrasi perpajakan berikut adalah,neutral
sama aja kak selama memang ppn nya ini kan di coretax ppn nya sementara sudah diumumkan ppn tetap snk berlaku maka agar tetap bisa membuat faktur pajak dibuat dpp nilai lain tersebut,neutral
